I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.19000,-0.17500,0.01500,0.18200,-0.10200,-0.08000,-0.13500,-0.03500,0.01500,0.03600,0.02000,0.02500
-0.18900,-0.17400,0.01500,0.18100,-0.10100,-0.08000,-0.13500,-0.03500,0.02100,0.03800,0.02000,0.02500
-0.19600,-0.18400,0.01200,0.19000,-0.10300,-0.08600,-0.13100,-0.03500,0.02800,0.03600,0.02000,0.02500
-0.20600,-0.19700,0.00900,0.20200,-0.10700,-0.09300,-0.12900,-0.03200,0.02600,0.03500,0.02000,0.02500
-0.20000,-0.19500,0.00500,0.19700,-0.10200,-0.09500,-0.12500,-0.02900,0.02300,0.03500,0.02000,0.02500
-0.19400,-0.19200,0.00100,0.19300,-0.09700,-0.09500,-0.12500,-0.03100,0.02100,0.03500,0.02000,0.02500
-0.18400,-0.19000,-0.00600,0.18700,-0.08900,-0.09800,-0.13200,-0.03400,0.01700,0.03500,0.02000,0.02000
-0.19700,-0.18900,0.00900,0.19300,-0.10300,-0.08900,-0.13100,-0.03800,0.01500,0.03600,0.02000,0.01700
-0.20400,-0.18400,0.02000,0.19400,-0.11200,-0.08100,-0.13000,-0.04000,0.01200,0.03400,0.02000,0.01300
-0.19000,-0.17800,0.01100,0.18400,-0.10000,-0.08300,-0.12900,-0.04500,0.00400,0.02800,0.02000,0.01000
-0.18200,-0.17400,0.00800,0.17800,-0.09500,-0.08300,-0.12500,-0.04200,-0.00200,0.02500,0.02000,0.00400
-0.17100,-0.17000,0.00100,0.17100,-0.08600,-0.08400,-0.12500,-0.03600,-0.01000,0.02000,0.01800,0.00900
-0.16000,-0.16400,-0.00400,0.16300,-0.07800,-0.08400,-0.12700,-0.05000,-0.01800,0.01600,0.01400,0.01800
-0.16100,-0.16900,-0.00900,0.16500,-0.07600,-0.08900,-0.13200,-0.05700,-0.02400,0.01100,0.01200,0.01300
-0.15100,-0.17500,-0.02400,0.16300,-0.06300,-0.09900,-0.13700,-0.06000,-0.03100,0.00500,0.00900,0.01000
-0.14800,-0.18400,-0.03600,0.16600,-0.05600,-0.11000,-0.14000,-0.06200,-0.03700,0.00000,0.00600,0.00700
-0.17500,-0.20400,-0.03000,0.19000,-0.07200,-0.11700,-0.13500,-0.06000,-0.04100,-0.00600,0.00400,0.00200
-0.18000,-0.20500,-0.02500,0.19300,-0.07700,-0.11500,-0.13500,-0.06000,-0.04000,-0.01100,0.00100,-0.00100
-0.17800,-0.20000,-0.02200,0.18900,-0.07800,-0.11100,-0.13400,-0.06100,-0.04100,-0.01600,-0.00400,-0.00400
-0.18400,-0.19900,-0.01500,0.19200,-0.08500,-0.10700,-0.12900,-0.07000,-0.04500,-0.02000,-0.00600,-0.00900
-0.17100,-0.19500,-0.02300,0.18300,-0.07300,-0.10900,-0.13100,-0.07100,-0.04500,-0.02000,-0.01100,-0.00800
-0.16200,-0.19400,-0.03100,0.17800,-0.06500,-0.11200,-0.12700,-0.07000,-0.04500,-0.02000,-0.01500,0.00100
-0.16000,-0.19000,-0.03000,0.17500,-0.06500,-0.11000,-0.12400,-0.06700,-0.04500,-0.02000,-0.01500,0.00700
-0.15600,-0.18400,-0.02800,0.17000,-0.06400,-0.10500,-0.12500,-0.06400,-0.04500,-0.02000,-0.01500,0.01400
-0.17000,-0.19500,-0.02500,0.18300,-0.07200,-0.11000,-0.12100,-0.06600,-0.04500,-0.02000,-0.01500,0.00600
