I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.08100,0.04600,0.12700,0.01700,-0.10500,0.08700,0.11900,0.24700,0.10200,0.00600,-0.04900,-0.12900
-0.08500,0.06600,0.15100,0.00900,-0.11800,0.10800,0.12700,0.27500,0.12800,0.02100,-0.03800,-0.11900
-0.07600,0.09600,0.17200,-0.01000,-0.12400,0.13400,0.15800,0.32100,0.17300,0.04700,-0.02000,-0.10300
-0.06300,0.11400,0.17600,-0.02600,-0.12000,0.14500,0.15700,0.36000,0.21000,0.07700,-0.00900,-0.09000
-0.03500,0.14200,0.17700,-0.05400,-0.10600,0.16000,0.15100,0.36900,0.22500,0.09100,0.00600,-0.07400
-0.00200,0.16500,0.16800,-0.08200,-0.08500,0.16600,0.14400,0.35600,0.23400,0.09500,0.03600,-0.04000
0.02100,0.18000,0.15900,-0.10100,-0.06900,0.17000,0.12900,0.34300,0.22500,0.09700,0.06700,-0.02400
0.02800,0.18100,0.15400,-0.10500,-0.06300,0.16700,0.09500,0.30400,0.20200,0.08000,0.06500,-0.02500
0.01800,0.15400,0.13600,-0.08600,-0.05900,0.14500,0.05300,0.25200,0.17200,0.06300,0.07100,-0.01800
0.02000,0.12300,0.10300,-0.07200,-0.04200,0.11300,0.03000,0.19300,0.11900,0.03300,0.05700,-0.03000
0.01800,0.10400,0.08700,-0.06100,-0.03500,0.09500,0.00400,0.13900,0.06300,0.00000,0.03200,-0.04200
0.00200,0.08000,0.07800,-0.04100,-0.03800,0.07900,-0.01000,0.10100,0.02800,-0.02300,0.02800,-0.04000
-0.00900,0.05400,0.06300,-0.02300,-0.03600,0.05800,-0.02300,0.06900,0.00800,-0.04300,0.01200,-0.05700
-0.03400,0.03100,0.06500,0.00100,-0.05000,0.04800,-0.03500,0.05000,-0.01300,-0.05900,0.00400,-0.07600
-0.05300,0.01300,0.06600,0.02000,-0.06000,0.03900,-0.03600,0.04000,-0.03600,-0.08100,-0.01400,-0.07900
-0.02500,0.03000,0.05500,-0.00300,-0.04000,0.04200,-0.04500,0.02200,-0.04800,-0.09300,-0.02200,-0.06500
-0.02100,0.02200,0.04300,-0.00100,-0.03200,0.03300,-0.04500,0.00500,-0.05400,-0.09900,-0.02300,-0.05900
