I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.07800,0.16900,0.24700,-0.04600,-0.16300,0.20800,-0.01900,-0.06000,-0.06000,-0.07500,-0.08400,0.02500
-0.11300,0.15700,0.27000,-0.02200,-0.19200,0.21300,-0.01500,-0.06000,-0.06000,-0.07500,-0.08000,0.02500
-0.12800,0.15000,0.27800,-0.01100,-0.20300,0.21300,-0.01500,-0.06000,-0.06000,-0.07500,-0.07900,0.02500
-0.12100,0.14400,0.26600,-0.01200,-0.19300,0.20500,-0.01500,-0.06400,-0.06000,-0.07500,-0.07400,0.02500
-0.10600,0.15500,0.26100,-0.02500,-0.18400,0.20800,-0.01400,-0.06500,-0.06000,-0.07600,-0.07400,0.02500
-0.09100,0.16000,0.25200,-0.03500,-0.17200,0.20600,-0.01600,-0.06600,-0.06000,-0.07400,-0.06700,0.02400
-0.13300,0.11200,0.24500,0.01000,-0.18900,0.17800,-0.00900,-0.06900,-0.07100,-0.08500,-0.07900,0.02100
-0.12300,0.13000,0.25300,-0.00400,-0.18800,0.19200,0.01200,-0.07400,-0.07600,-0.09600,-0.09700,0.01900
-0.12700,0.13200,0.25900,-0.00300,-0.19300,0.19500,0.01600,-0.07500,-0.07400,-0.09500,-0.09400,0.02100
-0.12800,0.11900,0.24700,0.00500,-0.18800,0.18200,0.00900,-0.07500,-0.07900,-0.09500,-0.09500,0.01900
-0.09500,0.14900,0.24400,-0.02700,-0.17000,0.19600,0.00800,-0.07600,-0.07900,-0.09500,-0.09500,0.02100
-0.10300,0.13100,0.23500,-0.01400,-0.16900,0.18300,0.00100,-0.07200,-0.08100,-0.09500,-0.09400,0.01800
-0.11400,0.11500,0.22900,0.00000,-0.17200,0.17100,-0.00700,-0.08600,-0.08500,-0.09700,-0.09800,0.00700
-0.12200,0.13500,0.25800,-0.00700,-0.19000,0.19600,-0.01800,-0.09700,-0.09500,-0.10200,-0.10400,-0.00100
-0.12600,0.15400,0.28000,-0.01400,-0.20300,0.21600,-0.02600,-0.09500,-0.08600,-0.07700,-0.11200,-0.01900
-0.08700,0.18500,0.27200,-0.05000,-0.18000,0.22800,-0.01500,-0.07200,-0.04100,-0.05900,-0.08600,0.00300
-0.05700,0.20900,0.26600,-0.07600,-0.16200,0.23800,0.01900,-0.04800,-0.02700,-0.06400,-0.04800,0.04100
-0.09900,0.21600,0.31500,-0.05900,-0.20800,0.26600,0.03900,-0.05000,-0.03200,-0.05400,-0.03800,0.04900
-0.09100,0.25100,0.34200,-0.08000,-0.21700,0.29600,-0.00300,-0.05800,-0.02800,-0.03900,-0.02600,0.06700
-0.06200,0.27800,0.34000,-0.10800,-0.20100,0.30900,-0.03600,-0.08000,-0.03300,-0.03500,-0.02700,0.06400
-0.07000,0.25300,0.32300,-0.09200,-0.19700,0.28800,-0.03500,-0.08800,-0.02700,-0.03100,-0.02100,0.05400
-0.07200,0.19100,0.26300,-0.06000,-0.16700,0.22700,-0.03500,-0.08800,-0.03300,-0.04600,-0.03500,0.04500
-0.10900,0.13500,0.24400,-0.01400,-0.17700,0.19000,-0.03600,-0.09300,-0.06500,-0.06400,-0.06700,0.03900
-0.14300,0.08500,0.22800,0.02900,-0.18600,0.15600,-0.03400,-0.09500,-0.09300,-0.08600,-0.08400,0.02700
-0.09500,0.11200,0.20700,-0.00900,-0.15200,0.16000,-0.03500,-0.09400,-0.08100,-0.09000,-0.10200,0.02200
-0.10200,0.09000,0.19200,0.00600,-0.14700,0.14100,-0.02900,-0.08900,-0.08400,-0.09000,-0.11200,0.01100
